Survey Introduction & Privacy Statement  ,Have you ever made an insurance claim? ,  How confident are you in understanding insurance policies and the insurance claim process?  ,"  When using services such as banking, insurance, or government services, which method do you generally prefer?  ",What type of insurance was your most recent claim related to?  , How did you first report your most recent claim?  ," Thinking about when the incident first happened, what did you find difficult or uncertain about?  ",  What did you find difficult or frustrating while reporting the claim?  ,"After your initial report, did the insurer contact you again because additional information or documents were required?  "," After submitting your initial claim report, what did you find difficult or uncertain about?  ","Thinking about the whole experience, which ONE part was the most difficult or frustrating?  ",Imagine you have just been involved in a minor car accident and need to report it to your insurer. What would you be most unsure about?  ,How would you prefer to report the incident?  ,"  When reporting an insurance claim, which THREE things would be most important to you?  ",In which situations would you prefer support from a human?  ,"How comfortable would you be using an AI assistant to help you report an insurance claim, if you could request human support at any time?  ",What would concern you most about using AI during an insurance claim?  ,"If you could change ONE thing about the insurance claim experience, what would it be?  "
"Yes, I agree to participate",No,5,Mobile app;Mobile app;Website / Online form,,,How to exchange information with other party,,,,,,,,,3,Technical errors;Not knowing when human will intervene;Loss of personal touch;AI making wrong decisions,understand coverage better
"Yes, I agree to participate",No,3,Chat / Messaging;Mobile app,,,What documentation I need;How to exchange information with other party;Whether I should move the vehicle;How soon I need to report,,,,,,,,,5,AI making wrong decisions;Complex situations might not be handled;Not knowing when human will intervene,understand coverage better
"Yes, I agree to participate",Yes,3,Chat / Messaging,Motor / Vehicle,Phone call,Taking photos or documenting the scene properly;Assessing the extent of damage;Knowing whether to involve police or other authorities,Had to repeat information multiple times;Uncertain about policy coverage,I don't remember,Not knowing the status of my claim;Unclear about next steps;Long processing time;Uncertainty about documentation requirements;Different staff gave different information,Communicating with staff,,,Transparent status updates;Knowing what to expect at each stage;Clear communication,Difficulty using digital channels;High-value claim;Need reassurance;Complex situation,4,Not knowing when human will intervene,understand coverage better
"Yes, I agree to participate",No,3,Chat / Messaging;Mobile app,,,Whether I should move the vehicle;How soon I need to report,,,,,,,,,3,Not knowing when human will intervene;AI might misunderstand my situation;AI making wrong decisions;Technical errors,faster response time
"Yes, I agree to participate",No,2,Chat / Messaging;Mobile app,,,Whether I need to contact police,,,,,,,,,3,AI might misunderstand my situation;Not knowing when human will intervene,simpler language
"Yes, I agree to participate",Yes,5,Chat / Messaging,Home / Property,Mobile app,Knowing what steps to take immediately;Understanding what information I needed to collect;Finding contact information for my insurer;Taking photos or documenting the scene properly,Could not upload documents easily;System was difficult to use,"Yes, multiple times",Different staff gave different information;Unclear about next steps;No updates unless I called,Communicating with staff,,,Knowing what to expect at each stage;Fast processing;Clear communication,Urgent matter;Confusing policy terms,3,AI making wrong decisions;Loss of personal touch;Not knowing when human will intervene,111
"Yes, I agree to participate",Yes,3,Website / Online form,Motor / Vehicle,Phone call,Assessing the extent of damage;Understanding my policy coverage;Understanding what information I needed to collect,System was difficult to use,"Yes, multiple times",Different staff gave different information;Not knowing the status of my claim;Difficulty contacting someone;Uncertainty about documentation requirements;Long processing time,Communicating with staff,,,Transparent status updates;Clear communication;Easy access to support,High-value claim;Dispute or disagreement;Confusing policy terms;Difficulty using digital channels,2,Not knowing when human will intervene;Technical errors;AI might misunderstand my situation;Lack of empathy;Privacy concerns,avoid repeating same story
"Yes, I agree to participate",No,3,Website / Online self-service;Mobile app,,,What documentation I need;Whether I should move the vehicle,,,,,,,,,4,Lack of empathy,more transparency
"Yes, I agree to participate",No,3,In-person service,,,,,,,,What I should do immediately,In person,Knowing exactly what information I need,Immediately after a serious or stressful incident,3,AI misunderstanding what happened,
"Yes, I agree to participate",No,3,Phone call;Phone call,,,How soon I need to report;Whether I should move the vehicle,,,,,,,,,3,Complex situations might not be handled;Not knowing when human will intervene;Lack of empathy,better communication
